file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability
FN.KLF.00.BHZ | 2025-01-01T09:22:02.766970Z - 2025-01-01T09:23:02.766970Z,,,,,,,2025-01-01T09:22:07.766970Z,,2025-01-01T09:22:17.997750Z,
HE.OUF.00.BHZ | 2025-01-05T04:55:03.867640Z - 2025-01-05T04:56:03.867640Z,,,,,,,2025-01-05T04:55:08.867640Z,,2025-01-05T04:55:31.175280Z,
HE.TOF.00.BHZ | 2025-01-05T04:55:39.682040Z - 2025-01-05T04:56:39.682040Z,,,,,,,,,2025-01-05T04:55:44.682040Z,
HE.VAF.00.BHZ | 2025-01-05T04:55:03.662550Z - 2025-01-05T04:56:03.662550Z,,,,,,,2025-01-05T04:55:08.662550Z,,2025-01-05T04:55:29.562850Z,
FN.KLF.00.BHZ | 2025-01-05T16:19:45.469450Z - 2025-01-05T16:20:45.469450Z,,,,,,,2025-01-05T16:19:50.469450Z,,2025-01-05T16:19:59.978880Z,
FN.RNF.00.BHZ | 2025-01-05T16:20:02.781330Z - 2025-01-05T16:21:02.781330Z,,,,,,,2025-01-05T16:20:07.781330Z,,2025-01-05T16:20:30.840280Z,
FN.SGF.00.BHZ | 2025-01-05T16:20:20.159430Z - 2025-01-05T16:21:20.159430Z,,,,,,,,,2025-01-05T16:20:25.159430Z,
HE.HEF.00.BHZ | 2025-01-05T16:19:47.016810Z - 2025-01-05T16:20:47.016810Z,,,,,,,2025-01-05T16:19:52.016810Z,,2025-01-05T16:20:02.569680Z,
HE.TOF.00.BHZ | 2025-01-05T16:20:27.265490Z - 2025-01-05T16:21:27.265490Z,,,,,,,,,2025-01-05T16:20:32.265490Z,
FN.OUL.00.BHZ | 2025-01-07T04:14:27.543550Z - 2025-01-07T04:15:27.543550Z,,,,,,,2025-01-07T04:14:32.543550Z,,2025-01-07T04:14:44.030860Z,
FN.RANF.00.?HZ | 2025-01-07T04:15:07.852160Z - 2025-01-07T04:16:07.852160Z,,,,,,,,,2025-01-07T04:15:12.852160Z,
HE.ALAJF.00.?HZ | 2025-01-07T04:14:33.872210Z - 2025-01-07T04:15:33.872210Z,,,,,,,2025-01-07T04:14:38.872210Z,,2025-01-07T04:14:54.622700Z,
HE.KJNF.00.CZ | 2025-01-07T04:14:34.193560Z - 2025-01-07T04:15:34.193560Z,,,,,,,2025-01-07T04:14:39.193560Z,,2025-01-07T04:14:55.297670Z,
HE.KU2.00.SHZ | 2025-01-07T04:15:12.042990Z - 2025-01-07T04:16:12.042990Z,,,,,,,,,2025-01-07T04:15:17.042990Z,
HE.NIF.00.BHZ | 2025-01-07T04:15:01.876000Z - 2025-01-07T04:16:01.876000Z,,,,,,,,,2025-01-07T04:15:06.876000Z,
HE.OBF0.00.BHZ | 2025-01-07T04:14:16.867510Z - 2025-01-07T04:15:16.867510Z,,,,,,,2025-01-07T04:14:21.867510Z,,2025-01-07T04:14:25.787680Z,
HE.OBF3.00.BHZ | 2025-01-07T04:14:20.278110Z - 2025-01-07T04:15:20.278110Z,,,,,,,2025-01-07T04:14:25.278110Z,,2025-01-07T04:14:31.822340Z,
HE.OBF8.00.BHZ | 2025-01-07T04:14:21.656300Z - 2025-01-07T04:15:21.656300Z,,,,,,,2025-01-07T04:14:26.656300Z,,2025-01-07T04:14:34.006540Z,
HE.OUF.00.BHZ | 2025-01-07T04:14:14.439740Z - 2025-01-07T04:15:14.439740Z,,,,,,,2025-01-07T04:14:19.439740Z,,2025-01-07T04:14:21.617350Z,
HE.SUF.00.BHZ | 2025-01-07T04:14:42.241090Z - 2025-01-07T04:15:42.241090Z,,,,,,,2025-01-07T04:14:47.241090Z,,2025-01-07T04:15:09.264360Z,
HE.TOF.00.BHZ | 2025-01-07T04:14:41.609540Z - 2025-01-07T04:15:41.609540Z,,,,,,,2025-01-07T04:14:46.609540Z,,2025-01-07T04:15:08.753810Z,
HE.VAF.00.BHZ | 2025-01-07T04:14:39.441190Z - 2025-01-07T04:15:39.441190Z,,,,,,,2025-01-07T04:14:44.441190Z,,2025-01-07T04:15:04.903010Z,
HE.ALAJF.00.?HZ | 2025-01-09T03:40:48.632710Z - 2025-01-09T03:41:48.632710Z,,,,,,,,,2025-01-09T03:40:53.632710Z,
HE.OBF0.00.BHZ | 2025-01-09T03:40:19.845980Z - 2025-01-09T03:41:19.845980Z,,,,,,,2025-01-09T03:40:24.845980Z,,2025-01-09T03:40:43.894450Z,
HE.OBF3.00.BHZ | 2025-01-09T03:40:24.126530Z - 2025-01-09T03:41:24.126530Z,,,,,,,2025-01-09T03:40:29.126530Z,,2025-01-09T03:40:51.492430Z,
HE.OBF8.00.BHZ | 2025-01-09T03:40:13.967110Z - 2025-01-09T03:41:13.967110Z,,,,,,,2025-01-09T03:40:18.967110Z,,2025-01-09T03:40:33.501850Z,
HE.OUF.00.BHZ | 2025-01-09T03:40:23.276900Z - 2025-01-09T03:41:23.276900Z,,,,,,,2025-01-09T03:40:28.276900Z,,2025-01-09T03:40:49.913980Z,
HE.VAF.00.BHZ | 2025-01-09T03:40:19.845980Z - 2025-01-09T03:41:19.845980Z,,,,,,,2025-01-09T03:40:24.845980Z,,2025-01-09T03:40:44.001460Z,
HE.ALAJF.00.?HZ | 2025-01-08T10:50:46.233030Z - 2025-01-08T10:51:46.233030Z,,,,,,,,,2025-01-08T10:50:51.233030Z,
HE.OBF0.00.BHZ | 2025-01-08T10:50:33.735130Z - 2025-01-08T10:51:33.735130Z,,,,,,,,,2025-01-08T10:50:38.735130Z,
HE.OUF.00.BHZ | 2025-01-08T10:50:39.982300Z - 2025-01-08T10:51:39.982300Z,,,,,,,,,2025-01-08T10:50:44.982300Z,
HE.TOF.00.BHZ | 2025-01-08T10:50:52.901630Z - 2025-01-08T10:51:52.901630Z,,,,,,,,,2025-01-08T10:50:57.901630Z,
HE.VAF.00.BHZ | 2025-01-08T10:50:16.739240Z - 2025-01-08T10:51:16.739240Z,,,,,,,2025-01-08T10:50:21.739240Z,,2025-01-08T10:50:43.298970Z,
FN.KLF.00.BHZ | 2025-01-08T18:35:19.766860Z - 2025-01-08T18:36:19.766860Z,,,,,,,2025-01-08T18:35:24.766860Z,,2025-01-08T18:35:45.798790Z,
HE.HEF.00.BHZ | 2025-01-08T18:35:46.874680Z - 2025-01-08T18:36:46.874680Z,,,,,,,,,2025-01-08T18:35:51.874680Z,
HE.KIF.00.BHZ | 2025-01-08T18:35:44.771490Z - 2025-01-08T18:36:44.771490Z,,,,,,,,,2025-01-08T18:35:49.771490Z,
HE.OBF0.00.BHZ | 2025-01-06T06:03:57.790000Z - 2025-01-06T06:04:57.790000Z,,,,,,,,,2025-01-06T06:04:02.790000Z,
HE.OUF.00.BHZ | 2025-01-06T06:04:04.230000Z - 2025-01-06T06:05:04.230000Z,,,,,,,,,2025-01-06T06:04:09.230000Z,
HE.VAF.00.BHZ | 2025-01-06T06:03:37.980000Z - 2025-01-06T06:04:37.980000Z,,,,,,,2025-01-06T06:03:42.980000Z,,2025-01-06T06:04:03.640000Z,
FN.KLF.00.BHZ | 2025-01-06T19:02:24.940000Z - 2025-01-06T19:03:24.940000Z,,,,,,,,,2025-01-06T19:02:29.940000Z,
FN.OUL.00.BHZ | 2025-01-06T19:02:10.550000Z - 2025-01-06T19:03:10.550000Z,,,,,,,,,2025-01-06T19:02:15.550000Z,
FN.RANF.00.?HZ | 2025-01-06T19:02:21.690000Z - 2025-01-06T19:03:21.690000Z,,,,,,,,,2025-01-06T19:02:26.690000Z,
FN.RNF.00.BHZ | 2025-01-06T19:02:21.920000Z - 2025-01-06T19:03:21.920000Z,,,,,,,,,2025-01-06T19:02:26.920000Z,
HE.OBF0.00.BHZ | 2025-01-06T19:02:05.210000Z - 2025-01-06T19:03:05.210000Z,,,,,,,,,2025-01-06T19:02:10.210000Z,
HE.OBF3.00.BHZ | 2025-01-06T19:02:01.730000Z - 2025-01-06T19:03:01.730000Z,,,,,,,,,2025-01-06T19:02:06.730000Z,
HE.OUF.00.BHZ | 2025-01-06T19:02:11.940000Z - 2025-01-06T19:03:11.940000Z,,,,,,,,,2025-01-06T19:02:16.940000Z,
HE.TOF.00.BHZ | 2025-01-06T19:01:46.060000Z - 2025-01-06T19:02:46.060000Z,,,,,,,2025-01-06T19:01:51.060000Z,,2025-01-06T19:02:01.860000Z,
HE.OBF0.00.BHZ | 2025-01-06T12:27:12.640000Z - 2025-01-06T12:28:12.640000Z,,,,,,,,,2025-01-06T12:27:17.640000Z,
HE.OBF8.00.BHZ | 2025-01-06T12:27:02.890000Z - 2025-01-06T12:28:02.890000Z,,,,,,,,,2025-01-06T12:27:07.890000Z,
HE.VAF.00.BHZ | 2025-01-06T12:26:53.610000Z - 2025-01-06T12:27:53.610000Z,,,,,,,2025-01-06T12:26:58.610000Z,,2025-01-06T12:27:18.570000Z,
FN.KLF.00.BHZ | 2025-01-10T12:43:51.763880Z - 2025-01-10T12:44:51.763880Z,,,,,,,2025-01-10T12:43:56.763880Z,,2025-01-10T12:44:10.862210Z,
FN.OUL.00.BHZ | 2025-01-10T12:44:34.972130Z - 2025-01-10T12:45:34.972130Z,,,,,,,,,2025-01-10T12:44:39.972130Z,
FN.RANF.00.?HZ | 2025-01-10T12:44:07.281130Z - 2025-01-10T12:45:07.281130Z,,,,,,,2025-01-10T12:44:12.281130Z,,2025-01-10T12:44:36.472240Z,
FN.RNF.00.BHZ | 2025-01-10T12:44:00.923820Z - 2025-01-10T12:45:00.923820Z,,,,,,,2025-01-10T12:44:05.923820Z,,2025-01-10T12:44:26.175320Z,
FN.SGF.00.BHZ | 2025-01-10T12:44:07.219970Z - 2025-01-10T12:45:07.219970Z,,,,,,,2025-01-10T12:44:12.219970Z,,2025-01-10T12:44:39.333130Z,
HE.HEF.00.BHZ | 2025-01-10T12:44:07.906200Z - 2025-01-10T12:45:07.906200Z,,,,,,,2025-01-10T12:44:12.906200Z,,2025-01-10T12:44:40.541110Z,
HE.OBF3.00.BHZ | 2025-01-10T12:44:32.638710Z - 2025-01-10T12:45:32.638710Z,,,,,,,,,2025-01-10T12:44:37.638710Z,
HE.TOF.00.BHZ | 2025-01-10T12:43:49.902780Z - 2025-01-10T12:44:49.902780Z,,,,,,,2025-01-10T12:43:54.902780Z,,2025-01-10T12:44:07.701230Z,
FN.KLF.00.BHZ | 2025-01-12T09:42:43.886340Z - 2025-01-12T09:43:43.886340Z,,,,,,,2025-01-12T09:42:48.886340Z,,2025-01-12T09:43:07.408200Z,
FN.OUL.00.BHZ | 2025-01-12T09:42:41.442480Z - 2025-01-12T09:43:41.442480Z,,,,,,,2025-01-12T09:42:46.442480Z,,2025-01-12T09:43:03.479050Z,
FN.RANF.00.?HZ | 2025-01-12T09:42:44.015770Z - 2025-01-12T09:43:44.015770Z,,,,,,,2025-01-12T09:42:49.015770Z,,2025-01-12T09:43:07.554550Z,
FN.RNF.00.BHZ | 2025-01-12T09:42:43.307600Z - 2025-01-12T09:43:43.307600Z,,,,,,,2025-01-12T09:42:48.307600Z,,2025-01-12T09:43:04.487070Z,
FN.SGF.00.BHZ | 2025-01-12T09:42:54.051100Z - 2025-01-12T09:43:54.051100Z,,,,,,,2025-01-12T09:42:59.051100Z,,2025-01-12T09:43:26.418840Z,
HE.KU2.00.SHZ | 2025-01-12T09:43:20.738320Z - 2025-01-12T09:44:20.738320Z,,,,,,,,,2025-01-12T09:43:25.738320Z,
HE.OBF0.00.BHZ | 2025-01-12T09:42:43.447420Z - 2025-01-12T09:43:43.447420Z,,,,,,,2025-01-12T09:42:48.447420Z,,2025-01-12T09:43:06.010240Z,
HE.OBF3.00.BHZ | 2025-01-12T09:42:39.286450Z - 2025-01-12T09:43:39.286450Z,,,,,,,2025-01-12T09:42:44.286450Z,,2025-01-12T09:42:59.372300Z,
HE.OBF8.00.BHZ | 2025-01-12T09:42:44.672870Z - 2025-01-12T09:43:44.672870Z,,,,,,,2025-01-12T09:42:49.672870Z,,2025-01-12T09:43:09.538240Z,
HE.OUF.00.BHZ | 2025-01-12T09:42:46.330600Z - 2025-01-12T09:43:46.330600Z,,,,,,,2025-01-12T09:42:51.330600Z,,2025-01-12T09:43:11.710840Z,
HE.TOF.00.BHZ | 2025-01-12T09:42:27.059470Z - 2025-01-12T09:43:27.059470Z,,,,,,,2025-01-12T09:42:32.059470Z,,2025-01-12T09:42:38.050460Z,
FN.KLF.00.BHZ | 2025-01-12T17:26:56.208400Z - 2025-01-12T17:27:56.208400Z,,,,,,,2025-01-12T17:27:01.208400Z,,2025-01-12T17:27:22.910220Z,
FN.OUL.00.BHZ | 2025-01-12T17:26:51.255220Z - 2025-01-12T17:27:51.255220Z,,,,,,,2025-01-12T17:26:56.255220Z,,2025-01-12T17:27:13.871820Z,
FN.RANF.00.?HZ | 2025-01-12T17:26:56.105080Z - 2025-01-12T17:27:56.105080Z,,,,,,,2025-01-12T17:27:01.105080Z,,2025-01-12T17:27:22.193880Z,
FN.RNF.00.BHZ | 2025-01-12T17:26:55.324140Z - 2025-01-12T17:27:55.324140Z,,,,,,,2025-01-12T17:27:00.324140Z,,2025-01-12T17:27:20.868420Z,
HE.OBF0.00.BHZ | 2025-01-12T17:27:05.461600Z - 2025-01-12T17:28:05.461600Z,,,,,,,,,2025-01-12T17:27:10.461600Z,
HE.OBF3.00.BHZ | 2025-01-12T17:26:46.205160Z - 2025-01-12T17:27:46.205160Z,,,,,,,2025-01-12T17:26:51.205160Z,,2025-01-12T17:27:05.834490Z,
HE.OUF.00.BHZ | 2025-01-12T17:26:52.532430Z - 2025-01-12T17:27:52.532430Z,,,,,,,2025-01-12T17:26:57.532430Z,,2025-01-12T17:27:17.069290Z,
HE.TOF.00.BHZ | 2025-01-12T17:26:40.018480Z - 2025-01-12T17:27:40.018480Z,,,,,,,2025-01-12T17:26:45.018480Z,,2025-01-12T17:26:54.608820Z,
HE.ECKF.00.CZ | 2025-01-12T20:07:32.052100Z - 2025-01-12T20:08:32.052100Z,,,,,,,2025-01-12T20:07:37.052100Z,,,
HE.KPF.00.BHZ | 2025-01-12T20:07:42.672140Z - 2025-01-12T20:08:42.672140Z,,,,,,,2025-01-12T20:07:47.672140Z,,,
HE.ECKF.00.CZ | 2025-01-12T20:08:48.717110Z - 2025-01-12T20:09:48.717110Z,,,,,,,,,2025-01-12T20:08:53.717110Z,
HE.KPF.00.BHZ | 2025-01-12T20:09:09.374150Z - 2025-01-12T20:10:09.374150Z,,,,,,,,,2025-01-12T20:09:14.374150Z,
HE.ECKF.00.CZ | 2025-01-13T03:41:21.332310Z - 2025-01-13T03:42:21.332310Z,,,,,,,2025-01-13T03:41:26.332310Z,,2025-01-13T03:41:50.856800Z,
HE.KPF.00.BHZ | 2025-01-13T03:42:05.311520Z - 2025-01-13T03:43:05.311520Z,,,,,,,,,2025-01-13T03:42:10.311520Z,
HE.RAF.00.BHZ | 2025-01-13T03:41:29.585510Z - 2025-01-13T03:42:29.585510Z,,,,,,,2025-01-13T03:41:34.585510Z,,2025-01-13T03:42:08.516310Z,
UP.AAL.00.BHZ | 2025-01-13T03:41:25.109480Z - 2025-01-13T03:42:25.109480Z,,,,,,,2025-01-13T03:41:30.109480Z,,2025-01-13T03:41:58.069180Z,
FN.MSF.00.BHZ | 2025-01-14T15:08:26.370000Z - 2025-01-14T15:09:26.370000Z,,,,,,,2025-01-14T15:08:31.370000Z,,2025-01-14T15:08:33.790000Z,
FN.OLKF.00.BHZ | 2025-01-14T15:08:30.530000Z - 2025-01-14T15:09:30.530000Z,,,,,,,2025-01-14T15:08:35.530000Z,,2025-01-14T15:08:40.870000Z,
FN.OUL.00.BHZ | 2025-01-14T15:09:09.180000Z - 2025-01-14T15:10:09.180000Z,,,,,,,,,2025-01-14T15:09:14.180000Z,
FN.RANF.00.?HZ | 2025-01-14T15:08:38.460000Z - 2025-01-14T15:09:38.460000Z,,,,,,,2025-01-14T15:08:43.460000Z,,2025-01-14T15:08:54.730000Z,
FN.RNF.00.BHZ | 2025-01-14T15:09:03.270000Z - 2025-01-14T15:10:03.270000Z,,,,,,,,,2025-01-14T15:09:08.270000Z,
FN.SGF.00.BHZ | 2025-01-14T15:09:14.400000Z - 2025-01-14T15:10:14.400000Z,,,,,,,,,2025-01-14T15:09:19.400000Z,
HE.KU1.00.SHZ | 2025-01-14T15:08:32.300000Z - 2025-01-14T15:09:32.300000Z,,,,,,,2025-01-14T15:08:37.300000Z,,2025-01-14T15:08:43.820000Z,
HE.KU2.00.SHZ | 2025-01-14T15:08:30.370000Z - 2025-01-14T15:09:30.370000Z,,,,,,,2025-01-14T15:08:35.370000Z,,2025-01-14T15:08:40.730000Z,
HE.KU6.00.BHZ | 2025-01-14T15:08:30.670000Z - 2025-01-14T15:09:30.670000Z,,,,,,,2025-01-14T15:08:35.670000Z,,2025-01-14T15:08:41.150000Z,
HE.RMF.00.BHZ | 2025-01-14T15:09:16.449250Z - 2025-01-14T15:10:16.449250Z,,,,,,,,,2025-01-14T15:09:21.449250Z,
HE.VRF.00.BHZ | 2025-01-14T15:09:15.470000Z - 2025-01-14T15:10:15.470000Z,,,,,,,,,2025-01-14T15:09:20.470000Z,
HE.FIA0.00.?HZ | 2025-01-15T09:03:39.541900Z - 2025-01-15T09:04:39.541900Z,,,,,,,2025-01-15T09:03:44.541900Z,,2025-01-15T09:03:59.075620Z,
HE.FIA1.00.?HZ | 2025-01-15T09:03:39.541900Z - 2025-01-15T09:04:39.541900Z,,,,,,,2025-01-15T09:03:44.541900Z,,2025-01-15T09:03:59.075620Z,
HE.HEL1.00.BHZ | 2025-01-15T09:03:41.471590Z - 2025-01-15T09:04:41.471590Z,,,,,,,2025-01-15T09:03:46.471590Z,,2025-01-15T09:04:01.883810Z,
HE.HEL5.00.BHZ | 2025-01-15T09:03:59.352580Z - 2025-01-15T09:04:59.352580Z,,,,,,,,,2025-01-15T09:04:04.352580Z,
HE.KAF.00.?HZ | 2025-01-15T09:03:50.057760Z - 2025-01-15T09:04:50.057760Z,,,,,,,2025-01-15T09:03:55.057760Z,,2025-01-15T09:04:16.767740Z,
HE.KEF.00.?HZ | 2025-01-15T09:03:55.352760Z - 2025-01-15T09:04:55.352760Z,,,,,,,2025-01-15T09:04:00.352760Z,,2025-01-15T09:04:27.320380Z,
HE.KUNI.00.BHZ | 2025-01-15T09:03:40.758680Z - 2025-01-15T09:04:40.758680Z,,,,,,,2025-01-15T09:03:45.758680Z,,2025-01-15T09:04:00.562790Z,
HE.KY02.00.CZ | 2025-01-15T09:03:29.189020Z - 2025-01-15T09:04:29.189020Z,,,,,,,2025-01-15T09:03:34.189020Z,,2025-01-15T09:03:40.832100Z,
HE.KY17.00.CZ | 2025-01-15T09:03:28.293570Z - 2025-01-15T09:04:28.293570Z,,,,,,,2025-01-15T09:03:33.293570Z,,2025-01-15T09:03:39.176990Z,
HE.LAUT.00.BHZ | 2025-01-15T09:03:41.979570Z - 2025-01-15T09:04:41.979570Z,,,,,,,2025-01-15T09:03:46.979570Z,,2025-01-15T09:04:02.251060Z,
HE.LOVF.00.CZ | 2025-01-15T09:03:28.254860Z - 2025-01-15T09:04:28.254860Z,,,,,,,2025-01-15T09:03:33.254860Z,,2025-01-15T09:03:39.060870Z,
HE.MEF.00.BHZ | 2025-01-15T09:03:45.465020Z - 2025-01-15T09:04:45.465020Z,,,,,,,2025-01-15T09:03:50.465020Z,,2025-01-15T09:04:08.835970Z,
HE.NUR.00.SHZ | 2025-01-15T09:03:58.726870Z - 2025-01-15T09:04:58.726870Z,,,,,,,,,2025-01-15T09:04:03.726870Z,
HE.PVF.00.CZ | 2025-01-15T09:03:31.995960Z - 2025-01-15T09:04:31.995960Z,,,,,,,2025-01-15T09:03:36.995960Z,,2025-01-15T09:03:45.354390Z,
HE.RUF.00.BHZ | 2025-01-15T09:03:42.825270Z - 2025-01-15T09:04:42.825270Z,,,,,,,2025-01-15T09:03:47.825270Z,,2025-01-15T09:04:04.461930Z,
HE.SUF.00.BHZ | 2025-01-15T09:03:59.107470Z - 2025-01-15T09:04:59.107470Z,,,,,,,2025-01-15T09:04:04.107470Z,,2025-01-15T09:04:34.274100Z,
HE.TRE03.00.CZ | 2025-01-15T09:03:52.683170Z - 2025-01-15T09:04:52.683170Z,,,,,,,2025-01-15T09:03:57.683170Z,,2025-01-15T09:04:22.006640Z,
HE.TVF.00.BHZ | 2025-01-15T09:03:56.125880Z - 2025-01-15T09:04:56.125880Z,,,,,,,2025-01-15T09:04:01.125880Z,,2025-01-15T09:04:28.293320Z,
HE.VJF.00.?HZ | 2025-01-15T09:03:23.685660Z - 2025-01-15T09:04:23.685660Z,,,,,,,2025-01-15T09:03:28.685660Z,,2025-01-15T09:03:31.293870Z,
HE.VUOS.00.BHZ | 2025-01-15T09:03:39.068710Z - 2025-01-15T09:04:39.068710Z,,,,,,,2025-01-15T09:03:44.068710Z,,2025-01-15T09:03:57.926450Z,
FN.KLF.00.BHZ | 2025-01-15T10:54:32.573410Z - 2025-01-15T10:55:32.573410Z,,,,,,,2025-01-15T10:54:37.573410Z,,2025-01-15T10:54:46.739170Z,
FN.MSF.00.BHZ | 2025-01-15T10:55:31.932400Z - 2025-01-15T10:56:31.932400Z,,,,,,,,,2025-01-15T10:55:36.932400Z,
FN.OUL.00.BHZ | 2025-01-15T10:54:53.027560Z - 2025-01-15T10:55:53.027560Z,,,,,,,2025-01-15T10:54:58.027560Z,,2025-01-15T10:55:22.304180Z,
FN.RANF.00.?HZ | 2025-01-15T10:54:48.438980Z - 2025-01-15T10:55:48.438980Z,,,,,,,2025-01-15T10:54:53.438980Z,,2025-01-15T10:55:14.523210Z,
FN.RNF.00.BHZ | 2025-01-15T10:54:41.080480Z - 2025-01-15T10:55:41.080480Z,,,,,,,2025-01-15T10:54:46.080480Z,,2025-01-15T10:55:01.355850Z,
FN.SGF.00.BHZ | 2025-01-15T10:54:47.617260Z - 2025-01-15T10:55:47.617260Z,,,,,,,2025-01-15T10:54:52.617260Z,,2025-01-15T10:55:13.476370Z,
HE.HEF.00.BHZ | 2025-01-15T10:54:51.082320Z - 2025-01-15T10:55:51.082320Z,,,,,,,2025-01-15T10:54:56.082320Z,,2025-01-15T10:55:19.113980Z,
HE.KU2.00.SHZ | 2025-01-15T10:55:28.664390Z - 2025-01-15T10:56:28.664390Z,,,,,,,,,2025-01-15T10:55:33.664390Z,
HE.OBF0.00.BHZ | 2025-01-15T10:54:57.540520Z - 2025-01-15T10:55:57.540520Z,,,,,,,2025-01-15T10:55:02.540520Z,,2025-01-15T10:55:30.474190Z,
HE.OBF3.00.BHZ | 2025-01-15T10:54:53.338800Z - 2025-01-15T10:55:53.338800Z,,,,,,,2025-01-15T10:54:58.338800Z,,2025-01-15T10:55:23.004470Z,
HE.OUF.00.BHZ | 2025-01-15T10:55:30.920870Z - 2025-01-15T10:56:30.920870Z,,,,,,,,,2025-01-15T10:55:35.920870Z,
HE.TOF.00.BHZ | 2025-01-15T10:54:33.430610Z - 2025-01-15T10:55:33.430610Z,,,,,,,2025-01-15T10:54:38.430610Z,,2025-01-15T10:54:48.120600Z,
HE.HEF.00.BHZ | 2025-01-15T01:28:15.498180Z - 2025-01-15T01:29:15.498180Z,,,,,,,2025-01-15T01:28:20.498180Z,,2025-01-15T01:28:53.530970Z,
HE.KIF.00.BHZ | 2025-01-15T01:27:59.746420Z - 2025-01-15T01:28:59.746420Z,,,,,,,2025-01-15T01:28:04.746420Z,,2025-01-15T01:28:25.833090Z,
FN.KLF.00.BHZ | 2025-01-15T07:58:26.530900Z - 2025-01-15T07:59:26.530900Z,,,,,,,2025-01-15T07:58:31.530900Z,,2025-01-15T07:58:55.876230Z,
FN.SGF.00.BHZ | 2025-01-15T07:58:37.708040Z - 2025-01-15T07:59:37.708040Z,,,,,,,2025-01-15T07:58:42.708040Z,,2025-01-15T07:59:15.490800Z,
HE.HEF.00.BHZ | 2025-01-15T07:58:21.432910Z - 2025-01-15T07:59:21.432910Z,,,,,,,2025-01-15T07:58:26.432910Z,,2025-01-15T07:58:45.884330Z,
HE.KIF.00.BHZ | 2025-01-15T07:58:11.870640Z - 2025-01-15T07:59:11.870640Z,,,,,,,2025-01-15T07:58:16.870640Z,,2025-01-15T07:58:29.655960Z,
FN.KLF.00.BHZ | 2025-01-17T18:12:23.355140Z - 2025-01-17T18:13:23.355140Z,,,,,,,,,2025-01-17T18:12:28.355140Z,
FN.KMNF.00.?HZ | 2025-01-17T18:11:48.310080Z - 2025-01-17T18:12:48.310080Z,,,,,,,2025-01-17T18:11:53.310080Z,,2025-01-17T18:12:07.729390Z,
FN.RAJF.00.?HZ | 2025-01-17T18:11:34.950400Z - 2025-01-17T18:12:34.950400Z,,,,,,,2025-01-17T18:11:39.950400Z,,2025-01-17T18:11:44.653950Z,
FN.RANF.00.?HZ | 2025-01-17T18:12:32.578530Z - 2025-01-17T18:13:32.578530Z,,,,,,,,,2025-01-17T18:12:37.578530Z,
