file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability
FN.KLF.00.BHZ | 2025-01-01T09:21:58.961627Z - 2025-01-01T09:22:58.961627Z,,,,,,,2025-01-01T09:22:07.766970Z,,2025-01-01T09:22:17.997750Z,
FN.RNF.00.BHZ | 2025-01-05T16:19:45.917496Z - 2025-01-05T16:20:45.917496Z,,,,,,,2025-01-05T16:20:07.781330Z,,2025-01-05T16:20:30.840280Z,
FN.SGF.00.BHZ | 2025-01-05T16:19:53.762635Z - 2025-01-05T16:20:53.762635Z,,,,,,,,,2025-01-05T16:20:25.159430Z,
HE.HEF.00.BHZ | 2025-01-05T16:19:20.150808Z - 2025-01-05T16:20:20.150808Z,,,,,,,2025-01-05T16:19:52.016810Z,,2025-01-05T16:20:02.569680Z,
HE.TOF.00.BHZ | 2025-01-05T16:19:51.856570Z - 2025-01-05T16:20:51.856570Z,,,,,,,,,2025-01-05T16:20:32.265490Z,
FN.OUL.00.BHZ | 2025-01-07T04:13:52.136110Z - 2025-01-07T04:14:52.136110Z,,,,,,,2025-01-07T04:14:32.543550Z,,2025-01-07T04:14:44.030860Z,
FN.RANF.00.?HZ | 2025-01-07T04:15:01.701764Z - 2025-01-07T04:16:01.701764Z,,,,,,,,,2025-01-07T04:15:12.852160Z,
HE.ALAJF.00.?HZ | 2025-01-07T04:14:23.570358Z - 2025-01-07T04:15:23.570358Z,,,,,,,2025-01-07T04:14:38.872210Z,,2025-01-07T04:14:54.622700Z,
HE.KJNF.00.CZ | 2025-01-07T04:14:17.849397Z - 2025-01-07T04:15:17.849397Z,,,,,,,2025-01-07T04:14:39.193560Z,,2025-01-07T04:14:55.297670Z,
HE.KU2.00.SHZ | 2025-01-07T04:14:43.924931Z - 2025-01-07T04:15:43.924931Z,,,,,,,,,2025-01-07T04:15:17.042990Z,
HE.NIF.00.BHZ | 2025-01-07T04:14:32.453994Z - 2025-01-07T04:15:32.453994Z,,,,,,,,,2025-01-07T04:15:06.876000Z,
HE.OBF0.00.BHZ | 2025-01-07T04:13:43.887902Z - 2025-01-07T04:14:43.887902Z,,,,,,,2025-01-07T04:14:21.867510Z,,2025-01-07T04:14:25.787680Z,
HE.OBF3.00.BHZ | 2025-01-07T04:13:55.578255Z - 2025-01-07T04:14:55.578255Z,,,,,,,2025-01-07T04:14:25.278110Z,,2025-01-07T04:14:31.822340Z,
HE.OBF8.00.BHZ | 2025-01-07T04:13:56.314604Z - 2025-01-07T04:14:56.314604Z,,,,,,,2025-01-07T04:14:26.656300Z,,2025-01-07T04:14:34.006540Z,
HE.OUF.00.BHZ | 2025-01-07T04:13:26.859250Z - 2025-01-07T04:14:26.859250Z,,,,,,,2025-01-07T04:14:19.439740Z,,2025-01-07T04:14:21.617350Z,
HE.SUF.00.BHZ | 2025-01-07T04:14:24.917252Z - 2025-01-07T04:15:24.917252Z,,,,,,,2025-01-07T04:14:47.241090Z,,2025-01-07T04:15:09.264360Z,
HE.TOF.00.BHZ | 2025-01-07T04:14:19.435224Z - 2025-01-07T04:15:19.435224Z,,,,,,,2025-01-07T04:14:46.609540Z,,2025-01-07T04:15:08.753810Z,
HE.VAF.00.BHZ | 2025-01-07T04:14:35.394027Z - 2025-01-07T04:15:35.394027Z,,,,,,,2025-01-07T04:14:44.441190Z,,2025-01-07T04:15:04.903010Z,
HE.ALAJF.00.?HZ | 2025-01-09T03:40:31.317886Z - 2025-01-09T03:41:31.317886Z,,,,,,,,,2025-01-09T03:40:53.632710Z,
HE.OBF0.00.BHZ | 2025-01-09T03:40:09.939030Z - 2025-01-09T03:41:09.939030Z,,,,,,,2025-01-09T03:40:24.845980Z,,2025-01-09T03:40:43.894450Z,
HE.OBF3.00.BHZ | 2025-01-09T03:40:23.036209Z - 2025-01-09T03:41:23.036209Z,,,,,,,2025-01-09T03:40:29.126530Z,,2025-01-09T03:40:51.492430Z,
HE.OBF8.00.BHZ | 2025-01-09T03:39:39.674692Z - 2025-01-09T03:40:39.674692Z,,,,,,,2025-01-09T03:40:18.967110Z,,2025-01-09T03:40:33.501850Z,
HE.OUF.00.BHZ | 2025-01-09T03:40:10.625911Z - 2025-01-09T03:41:10.625911Z,,,,,,,2025-01-09T03:40:28.276900Z,,2025-01-09T03:40:49.913980Z,
HE.VAF.00.BHZ | 2025-01-09T03:39:50.491277Z - 2025-01-09T03:40:50.491277Z,,,,,,,2025-01-09T03:40:24.845980Z,,2025-01-09T03:40:44.001460Z,
HE.ALAJF.00.?HZ | 2025-01-08T10:50:14.829658Z - 2025-01-08T10:51:14.829658Z,,,,,,,,,2025-01-08T10:50:51.233030Z,
HE.OBF0.00.BHZ | 2025-01-08T10:49:52.999351Z - 2025-01-08T10:50:52.999351Z,,,,,,,,,2025-01-08T10:50:38.735130Z,
HE.OUF.00.BHZ | 2025-01-08T10:50:05.956546Z - 2025-01-08T10:51:05.956546Z,,,,,,,,,2025-01-08T10:50:44.982300Z,
HE.TOF.00.BHZ | 2025-01-08T10:50:20.296487Z - 2025-01-08T10:51:20.296487Z,,,,,,,,,2025-01-08T10:50:57.901630Z,
HE.VAF.00.BHZ | 2025-01-08T10:49:55.993273Z - 2025-01-08T10:50:55.993273Z,,,,,,,2025-01-08T10:50:21.739240Z,,2025-01-08T10:50:43.298970Z,
FN.KLF.00.BHZ | 2025-01-08T18:35:06.254890Z - 2025-01-08T18:36:06.254890Z,,,,,,,2025-01-08T18:35:24.766860Z,,2025-01-08T18:35:45.798790Z,
HE.HEF.00.BHZ | 2025-01-08T18:35:40.822215Z - 2025-01-08T18:36:40.822215Z,,,,,,,,,2025-01-08T18:35:51.874680Z,
HE.KIF.00.BHZ | 2025-01-08T18:35:07.408561Z - 2025-01-08T18:36:07.408561Z,,,,,,,,,2025-01-08T18:35:49.771490Z,
HE.OBF0.00.BHZ | 2025-01-06T06:03:32.177980Z - 2025-01-06T06:04:32.177980Z,,,,,,,,,2025-01-06T06:04:02.790000Z,
HE.OUF.00.BHZ | 2025-01-06T06:03:47.147273Z - 2025-01-06T06:04:47.147273Z,,,,,,,,,2025-01-06T06:04:09.230000Z,
HE.VAF.00.BHZ | 2025-01-06T06:03:22.384503Z - 2025-01-06T06:04:22.384503Z,,,,,,,2025-01-06T06:03:42.980000Z,,2025-01-06T06:04:03.640000Z,
FN.KLF.00.BHZ | 2025-01-06T19:02:17.710402Z - 2025-01-06T19:03:17.710402Z,,,,,,,,,2025-01-06T19:02:29.940000Z,
FN.OUL.00.BHZ | 2025-01-06T19:01:53.457258Z - 2025-01-06T19:02:53.457258Z,,,,,,,,,2025-01-06T19:02:15.550000Z,
FN.RANF.00.?HZ | 2025-01-06T19:02:09.675860Z - 2025-01-06T19:03:09.675860Z,,,,,,,,,2025-01-06T19:02:26.690000Z,
FN.RNF.00.BHZ | 2025-01-06T19:01:33.920488Z - 2025-01-06T19:02:33.920488Z,,,,,,,,,2025-01-06T19:02:26.920000Z,
HE.OBF0.00.BHZ | 2025-01-06T19:01:29.715385Z - 2025-01-06T19:02:29.715385Z,,,,,,,,,2025-01-06T19:02:10.210000Z,
HE.OBF3.00.BHZ | 2025-01-06T19:01:52.170452Z - 2025-01-06T19:02:52.170452Z,,,,,,,,,2025-01-06T19:02:06.730000Z,
HE.OUF.00.BHZ | 2025-01-06T19:01:46.008685Z - 2025-01-06T19:02:46.008685Z,,,,,,,,,2025-01-06T19:02:16.940000Z,
HE.TOF.00.BHZ | 2025-01-06T19:01:32.632136Z - 2025-01-06T19:02:32.632136Z,,,,,,,2025-01-06T19:01:51.060000Z,,2025-01-06T19:02:01.860000Z,
HE.OBF0.00.BHZ | 2025-01-06T12:26:55.383659Z - 2025-01-06T12:27:55.383659Z,,,,,,,,,2025-01-06T12:27:17.640000Z,
HE.OBF8.00.BHZ | 2025-01-06T12:26:36.130385Z - 2025-01-06T12:27:36.130385Z,,,,,,,,,2025-01-06T12:27:07.890000Z,
HE.VAF.00.BHZ | 2025-01-06T12:26:40.443660Z - 2025-01-06T12:27:40.443660Z,,,,,,,2025-01-06T12:26:58.610000Z,,2025-01-06T12:27:18.570000Z,
FN.KLF.00.BHZ | 2025-01-10T12:43:30.407205Z - 2025-01-10T12:44:30.407205Z,,,,,,,2025-01-10T12:43:56.763880Z,,2025-01-10T12:44:10.862210Z,
FN.OUL.00.BHZ | 2025-01-10T12:44:10.470384Z - 2025-01-10T12:45:10.470384Z,,,,,,,,,2025-01-10T12:44:39.972130Z,
FN.RANF.00.?HZ | 2025-01-10T12:43:49.309876Z - 2025-01-10T12:44:49.309876Z,,,,,,,2025-01-10T12:44:12.281130Z,,2025-01-10T12:44:36.472240Z,
FN.RNF.00.BHZ | 2025-01-10T12:43:54.959912Z - 2025-01-10T12:44:54.959912Z,,,,,,,2025-01-10T12:44:05.923820Z,,2025-01-10T12:44:26.175320Z,
FN.SGF.00.BHZ | 2025-01-10T12:43:45.172973Z - 2025-01-10T12:44:45.172973Z,,,,,,,2025-01-10T12:44:12.219970Z,,2025-01-10T12:44:39.333130Z,
HE.HEF.00.BHZ | 2025-01-10T12:43:48.654644Z - 2025-01-10T12:44:48.654644Z,,,,,,,2025-01-10T12:44:12.906200Z,,2025-01-10T12:44:40.541110Z,
HE.OBF3.00.BHZ | 2025-01-10T12:43:44.344699Z - 2025-01-10T12:44:44.344699Z,,,,,,,,,2025-01-10T12:44:37.638710Z,
HE.TOF.00.BHZ | 2025-01-10T12:43:20.795312Z - 2025-01-10T12:44:20.795312Z,,,,,,,2025-01-10T12:43:54.902780Z,,2025-01-10T12:44:07.701230Z,
FN.KLF.00.BHZ | 2025-01-12T09:42:25.895973Z - 2025-01-12T09:43:25.895973Z,,,,,,,2025-01-12T09:42:48.886340Z,,2025-01-12T09:43:07.408200Z,
FN.OUL.00.BHZ | 2025-01-12T09:42:18.011860Z - 2025-01-12T09:43:18.011860Z,,,,,,,2025-01-12T09:42:46.442480Z,,2025-01-12T09:43:03.479050Z,
FN.RANF.00.?HZ | 2025-01-12T09:42:20.288750Z - 2025-01-12T09:43:20.288750Z,,,,,,,2025-01-12T09:42:49.015770Z,,2025-01-12T09:43:07.554550Z,
FN.RNF.00.BHZ | 2025-01-12T09:42:32.374286Z - 2025-01-12T09:43:32.374286Z,,,,,,,2025-01-12T09:42:48.307600Z,,2025-01-12T09:43:04.487070Z,
FN.SGF.00.BHZ | 2025-01-12T09:42:42.095288Z - 2025-01-12T09:43:42.095288Z,,,,,,,2025-01-12T09:42:59.051100Z,,2025-01-12T09:43:26.418840Z,
HE.KU2.00.SHZ | 2025-01-12T09:43:12.242596Z - 2025-01-12T09:44:12.242596Z,,,,,,,,,2025-01-12T09:43:25.738320Z,
HE.OBF0.00.BHZ | 2025-01-12T09:42:35.324448Z - 2025-01-12T09:43:35.324448Z,,,,,,,2025-01-12T09:42:48.447420Z,,2025-01-12T09:43:06.010240Z,
HE.OBF3.00.BHZ | 2025-01-12T09:42:17.025556Z - 2025-01-12T09:43:17.025556Z,,,,,,,2025-01-12T09:42:44.286450Z,,2025-01-12T09:42:59.372300Z,
HE.OBF8.00.BHZ | 2025-01-12T09:42:28.281834Z - 2025-01-12T09:43:28.281834Z,,,,,,,2025-01-12T09:42:49.672870Z,,2025-01-12T09:43:09.538240Z,
HE.OUF.00.BHZ | 2025-01-12T09:42:21.480960Z - 2025-01-12T09:43:21.480960Z,,,,,,,2025-01-12T09:42:51.330600Z,,2025-01-12T09:43:11.710840Z,
HE.TOF.00.BHZ | 2025-01-12T09:42:05.226435Z - 2025-01-12T09:43:05.226435Z,,,,,,,2025-01-12T09:42:32.059470Z,,2025-01-12T09:42:38.050460Z,
FN.KLF.00.BHZ | 2025-01-12T17:26:47.085456Z - 2025-01-12T17:27:47.085456Z,,,,,,,2025-01-12T17:27:01.208400Z,,2025-01-12T17:27:22.910220Z,
FN.OUL.00.BHZ | 2025-01-12T17:26:36.249207Z - 2025-01-12T17:27:36.249207Z,,,,,,,2025-01-12T17:26:56.255220Z,,2025-01-12T17:27:13.871820Z,
FN.RANF.00.?HZ | 2025-01-12T17:26:48.195880Z - 2025-01-12T17:27:48.195880Z,,,,,,,2025-01-12T17:27:01.105080Z,,2025-01-12T17:27:22.193880Z,
FN.RNF.00.BHZ | 2025-01-12T17:26:27.376139Z - 2025-01-12T17:27:27.376139Z,,,,,,,2025-01-12T17:27:00.324140Z,,2025-01-12T17:27:20.868420Z,
HE.OBF0.00.BHZ | 2025-01-12T17:26:17.096582Z - 2025-01-12T17:27:17.096582Z,,,,,,,,,2025-01-12T17:27:10.461600Z,
HE.OBF3.00.BHZ | 2025-01-12T17:26:17.964495Z - 2025-01-12T17:27:17.964495Z,,,,,,,2025-01-12T17:26:51.205160Z,,2025-01-12T17:27:05.834490Z,
HE.OUF.00.BHZ | 2025-01-12T17:26:34.448180Z - 2025-01-12T17:27:34.448180Z,,,,,,,2025-01-12T17:26:57.532430Z,,2025-01-12T17:27:17.069290Z,
HE.TOF.00.BHZ | 2025-01-12T17:26:18.900996Z - 2025-01-12T17:27:18.900996Z,,,,,,,2025-01-12T17:26:45.018480Z,,2025-01-12T17:26:54.608820Z,
HE.ECKF.00.CZ | 2025-01-12T20:06:51.242049Z - 2025-01-12T20:07:51.242049Z,,,,,,,2025-01-12T20:07:37.052100Z,,,
HE.ECKF.00.CZ | 2025-01-12T20:08:27.819273Z - 2025-01-12T20:09:27.819273Z,,,,,,,,,2025-01-12T20:08:53.717110Z,
HE.KPF.00.BHZ | 2025-01-12T20:07:27.149673Z - 2025-01-12T20:08:27.149673Z,,,,,,,2025-01-12T20:07:47.672140Z,,,
HE.KPF.00.BHZ | 2025-01-12T20:08:28.834078Z - 2025-01-12T20:09:28.834078Z,,,,,,,,,2025-01-12T20:09:14.374150Z,
HE.ECKF.00.CZ | 2025-01-13T03:41:00.466658Z - 2025-01-13T03:42:00.466658Z,,,,,,,2025-01-13T03:41:26.332310Z,,2025-01-13T03:41:50.856800Z,
HE.KPF.00.BHZ | 2025-01-13T03:41:18.256194Z - 2025-01-13T03:42:18.256194Z,,,,,,,,,2025-01-13T03:42:10.311520Z,
HE.RAF.00.BHZ | 2025-01-13T03:41:22.891037Z - 2025-01-13T03:42:22.891037Z,,,,,,,2025-01-13T03:41:34.585510Z,,2025-01-13T03:42:08.516310Z,
UP.AAL.00.BHZ | 2025-01-13T03:41:24.481947Z - 2025-01-13T03:42:24.481947Z,,,,,,,2025-01-13T03:41:30.109480Z,,2025-01-13T03:41:58.069180Z,
FN.MSF.00.BHZ | 2025-01-14T15:08:16.967074Z - 2025-01-14T15:09:16.967074Z,,,,,,,2025-01-14T15:08:31.370000Z,,2025-01-14T15:08:33.790000Z,
FN.OLKF.00.BHZ | 2025-01-14T15:07:48.905313Z - 2025-01-14T15:08:48.905313Z,,,,,,,2025-01-14T15:08:35.530000Z,,2025-01-14T15:08:40.870000Z,
FN.OUL.00.BHZ | 2025-01-14T15:08:33.511474Z - 2025-01-14T15:09:33.511474Z,,,,,,,,,2025-01-14T15:09:14.180000Z,
FN.RANF.00.?HZ | 2025-01-14T15:08:26.442545Z - 2025-01-14T15:09:26.442545Z,,,,,,,2025-01-14T15:08:43.460000Z,,2025-01-14T15:08:54.730000Z,
FN.RNF.00.BHZ | 2025-01-14T15:09:03.045490Z - 2025-01-14T15:10:03.045490Z,,,,,,,,,2025-01-14T15:09:08.270000Z,
FN.SGF.00.BHZ | 2025-01-14T15:08:25.438257Z - 2025-01-14T15:09:25.438257Z,,,,,,,,,2025-01-14T15:09:19.400000Z,
HE.KU1.00.SHZ | 2025-01-14T15:08:22.078136Z - 2025-01-14T15:09:22.078136Z,,,,,,,2025-01-14T15:08:37.300000Z,,2025-01-14T15:08:43.820000Z,
HE.KU2.00.SHZ | 2025-01-14T15:07:51.067045Z - 2025-01-14T15:08:51.067045Z,,,,,,,2025-01-14T15:08:35.370000Z,,2025-01-14T15:08:40.730000Z,
HE.KU6.00.BHZ | 2025-01-14T15:07:49.696540Z - 2025-01-14T15:08:49.696540Z,,,,,,,2025-01-14T15:08:35.670000Z,,2025-01-14T15:08:41.150000Z,
HE.RMF.00.BHZ | 2025-01-14T15:09:00.291584Z - 2025-01-14T15:10:00.291584Z,,,,,,,,,2025-01-14T15:09:21.449250Z,
HE.VRF.00.BHZ | 2025-01-14T15:09:09.903232Z - 2025-01-14T15:10:09.903232Z,,,,,,,,,2025-01-14T15:09:20.470000Z,
HE.FIA0.00.?HZ | 2025-01-15T09:03:37.067302Z - 2025-01-15T09:04:37.067302Z,,,,,,,2025-01-15T09:03:44.541900Z,,2025-01-15T09:03:59.075620Z,
HE.FIA1.00.?HZ | 2025-01-15T09:03:35.446262Z - 2025-01-15T09:04:35.446262Z,,,,,,,2025-01-15T09:03:44.541900Z,,2025-01-15T09:03:59.075620Z,
HE.HEL1.00.BHZ | 2025-01-15T09:03:38.198966Z - 2025-01-15T09:04:38.198966Z,,,,,,,2025-01-15T09:03:46.471590Z,,2025-01-15T09:04:01.883810Z,
HE.HEL5.00.BHZ | 2025-01-15T09:03:54.172629Z - 2025-01-15T09:04:54.172629Z,,,,,,,,,2025-01-15T09:04:04.352580Z,
HE.KAF.00.?HZ | 2025-01-15T09:03:33.797492Z - 2025-01-15T09:04:33.797492Z,,,,,,,2025-01-15T09:03:55.057760Z,,2025-01-15T09:04:16.767740Z,
HE.KEF.00.?HZ | 2025-01-15T09:03:47.716937Z - 2025-01-15T09:04:47.716937Z,,,,,,,2025-01-15T09:04:00.352760Z,,2025-01-15T09:04:27.320380Z,
HE.KUNI.00.BHZ | 2025-01-15T09:03:09.023838Z - 2025-01-15T09:04:09.023838Z,,,,,,,2025-01-15T09:03:45.758680Z,,2025-01-15T09:04:00.562790Z,
HE.KY02.00.CZ | 2025-01-15T09:02:50.055343Z - 2025-01-15T09:03:50.055343Z,,,,,,,2025-01-15T09:03:34.189020Z,,2025-01-15T09:03:40.832100Z,
HE.KY17.00.CZ | 2025-01-15T09:02:45.612326Z - 2025-01-15T09:03:45.612326Z,,,,,,,2025-01-15T09:03:33.293570Z,,2025-01-15T09:03:39.176990Z,
HE.LAUT.00.BHZ | 2025-01-15T09:03:19.665222Z - 2025-01-15T09:04:19.665222Z,,,,,,,2025-01-15T09:03:46.979570Z,,2025-01-15T09:04:02.251060Z,
HE.LOVF.00.CZ | 2025-01-15T09:03:16.870845Z - 2025-01-15T09:04:16.870845Z,,,,,,,2025-01-15T09:03:33.254860Z,,2025-01-15T09:03:39.060870Z,
HE.MEF.00.BHZ | 2025-01-15T09:03:36.743791Z - 2025-01-15T09:04:36.743791Z,,,,,,,2025-01-15T09:03:50.465020Z,,2025-01-15T09:04:08.835970Z,
HE.NUR.00.SHZ | 2025-01-15T09:03:32.962933Z - 2025-01-15T09:04:32.962933Z,,,,,,,,,2025-01-15T09:04:03.726870Z,
HE.PVF.00.CZ | 2025-01-15T09:03:03.932446Z - 2025-01-15T09:04:03.932446Z,,,,,,,2025-01-15T09:03:36.995960Z,,2025-01-15T09:03:45.354390Z,
HE.RUF.00.BHZ | 2025-01-15T09:03:37.028412Z - 2025-01-15T09:04:37.028412Z,,,,,,,2025-01-15T09:03:47.825270Z,,2025-01-15T09:04:04.461930Z,
HE.SUF.00.BHZ | 2025-01-15T09:03:57.264991Z - 2025-01-15T09:04:57.264991Z,,,,,,,2025-01-15T09:04:04.107470Z,,2025-01-15T09:04:34.274100Z,
HE.TRE03.00.CZ | 2025-01-15T09:03:47.502560Z - 2025-01-15T09:04:47.502560Z,,,,,,,2025-01-15T09:03:57.683170Z,,2025-01-15T09:04:22.006640Z,
HE.TVF.00.BHZ | 2025-01-15T09:03:47.618948Z - 2025-01-15T09:04:47.618948Z,,,,,,,2025-01-15T09:04:01.125880Z,,2025-01-15T09:04:28.293320Z,
HE.VJF.00.?HZ | 2025-01-15T09:02:38.457360Z - 2025-01-15T09:03:38.457360Z,,,,,,,2025-01-15T09:03:28.685660Z,,2025-01-15T09:03:31.293870Z,
HE.VUOS.00.BHZ | 2025-01-15T09:03:07.634903Z - 2025-01-15T09:04:07.634903Z,,,,,,,2025-01-15T09:03:44.068710Z,,2025-01-15T09:03:57.926450Z,
FN.KLF.00.BHZ | 2025-01-15T10:54:25.521890Z - 2025-01-15T10:55:25.521890Z,,,,,,,2025-01-15T10:54:37.573410Z,,2025-01-15T10:54:46.739170Z,
FN.MSF.00.BHZ | 2025-01-15T10:54:49.887697Z - 2025-01-15T10:55:49.887697Z,,,,,,,,,2025-01-15T10:55:36.932400Z,
FN.OUL.00.BHZ | 2025-01-15T10:54:47.198224Z - 2025-01-15T10:55:47.198224Z,,,,,,,2025-01-15T10:54:58.027560Z,,2025-01-15T10:55:22.304180Z,
FN.RANF.00.?HZ | 2025-01-15T10:54:21.126807Z - 2025-01-15T10:55:21.126807Z,,,,,,,2025-01-15T10:54:53.438980Z,,2025-01-15T10:55:14.523210Z,
FN.RNF.00.BHZ | 2025-01-15T10:54:31.939781Z - 2025-01-15T10:55:31.939781Z,,,,,,,2025-01-15T10:54:46.080480Z,,2025-01-15T10:55:01.355850Z,
FN.SGF.00.BHZ | 2025-01-15T10:54:27.275325Z - 2025-01-15T10:55:27.275325Z,,,,,,,2025-01-15T10:54:52.617260Z,,2025-01-15T10:55:13.476370Z,
HE.HEF.00.BHZ | 2025-01-15T10:54:38.465929Z - 2025-01-15T10:55:38.465929Z,,,,,,,2025-01-15T10:54:56.082320Z,,2025-01-15T10:55:19.113980Z,
HE.KU2.00.SHZ | 2025-01-15T10:55:07.235447Z - 2025-01-15T10:56:07.235447Z,,,,,,,,,2025-01-15T10:55:33.664390Z,
HE.OBF0.00.BHZ | 2025-01-15T10:54:46.876471Z - 2025-01-15T10:55:46.876471Z,,,,,,,2025-01-15T10:55:02.540520Z,,2025-01-15T10:55:30.474190Z,
HE.OBF3.00.BHZ | 2025-01-15T10:54:50.674240Z - 2025-01-15T10:55:50.674240Z,,,,,,,2025-01-15T10:54:58.338800Z,,2025-01-15T10:55:23.004470Z,
HE.OUF.00.BHZ | 2025-01-15T10:55:26.165972Z - 2025-01-15T10:56:26.165972Z,,,,,,,,,2025-01-15T10:55:35.920870Z,
HE.TOF.00.BHZ | 2025-01-15T10:53:55.504202Z - 2025-01-15T10:54:55.504202Z,,,,,,,2025-01-15T10:54:38.430610Z,,2025-01-15T10:54:48.120600Z,
HE.HEF.00.BHZ | 2025-01-15T01:28:13.461781Z - 2025-01-15T01:29:13.461781Z,,,,,,,2025-01-15T01:28:20.498180Z,,2025-01-15T01:28:53.530970Z,
HE.KIF.00.BHZ | 2025-01-15T01:27:49.865032Z - 2025-01-15T01:28:49.865032Z,,,,,,,2025-01-15T01:28:04.746420Z,,2025-01-15T01:28:25.833090Z,
FN.KLF.00.BHZ | 2025-01-15T07:58:21.963789Z - 2025-01-15T07:59:21.963789Z,,,,,,,2025-01-15T07:58:31.530900Z,,2025-01-15T07:58:55.876230Z,
FN.SGF.00.BHZ | 2025-01-15T07:58:22.905307Z - 2025-01-15T07:59:22.905307Z,,,,,,,2025-01-15T07:58:42.708040Z,,2025-01-15T07:59:15.490800Z,
HE.HEF.00.BHZ | 2025-01-15T07:58:12.743124Z - 2025-01-15T07:59:12.743124Z,,,,,,,2025-01-15T07:58:26.432910Z,,2025-01-15T07:58:45.884330Z,
HE.KIF.00.BHZ | 2025-01-15T07:57:44.435556Z - 2025-01-15T07:58:44.435556Z,,,,,,,2025-01-15T07:58:16.870640Z,,2025-01-15T07:58:29.655960Z,
FN.KLF.00.BHZ | 2025-01-17T18:11:41.795672Z - 2025-01-17T18:12:41.795672Z,,,,,,,,,2025-01-17T18:12:28.355140Z,
FN.KMNF.00.?HZ | 2025-01-17T18:11:25.163437Z - 2025-01-17T18:12:25.163437Z,,,,,,,2025-01-17T18:11:53.310080Z,,2025-01-17T18:12:07.729390Z,
FN.RAJF.00.?HZ | 2025-01-17T18:11:14.512010Z - 2025-01-17T18:12:14.512010Z,,,,,,,2025-01-17T18:11:39.950400Z,,2025-01-17T18:11:44.653950Z,
FN.RANF.00.?HZ | 2025-01-17T18:12:17.849290Z - 2025-01-17T18:13:17.849290Z,,,,,,,,,2025-01-17T18:12:37.578530Z,
