file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability
FN.RNF.00.00 | 2025-02-02T17:56:41.282979Z - 2025-02-02T17:57:41.282979Z,,,,,,,,,,
HE.KORF.00.00 | 2025-02-03T17:22:38.996744Z - 2025-02-03T17:23:38.996744Z,,,,,,,,,,
HE.MEF.00.00 | 2025-02-25T02:40:42.360268Z - 2025-02-25T02:41:42.360268Z,,,,,,,,,,
HE.FIC1.00.00 | 2025-01-30T16:50:02.242624Z - 2025-01-30T16:51:02.242624Z,,,,,,,,,,
HE.FIC4.00.00 | 2025-02-13T07:02:12.209799Z - 2025-02-13T07:03:12.209799Z,,,,,,,,,,
HE.OBF3.00.00 | 2025-02-22T13:10:34.892136Z - 2025-02-22T13:11:34.892136Z,,,,,,,,,,
HE.VJF.00.00 | 2025-02-12T09:04:28.917709Z - 2025-02-12T09:05:28.917709Z,,,,,,,,,,
HE.FIA3.00.00 | 2025-01-17T23:11:24.276596Z - 2025-01-17T23:12:24.276596Z,,,,,,,,,,
HE.RUF.00.00 | 2025-02-08T09:15:21.628573Z - 2025-02-08T09:16:21.628573Z,,,,,,,,,,
HE.MEF.00.00 | 2025-02-09T09:38:07.230257Z - 2025-02-09T09:39:07.230257Z,,,,,,,,,,
HE.VAF.00.00 | 2025-02-12T09:31:13.532210Z - 2025-02-12T09:32:13.532210Z,,,,,,,,,,
HE.OUF.00.00 | 2025-01-25T19:51:42.991840Z - 2025-01-25T19:52:42.991840Z,,,,,,,,,,
HE.HEF.00.00 | 2025-01-20T13:50:31.120943Z - 2025-01-20T13:51:31.120943Z,,,,,,,,,,
FN.RNF.00.00 | 2025-02-07T16:34:29.355745Z - 2025-02-07T16:35:29.355745Z,,,,,,,,,,
HE.VAF.00.00 | 2025-01-14T16:08:30.327408Z - 2025-01-14T16:09:30.327408Z,,,,,,,,,,
HE.TOF.00.00 | 2025-02-01T01:12:19.383928Z - 2025-02-01T01:13:19.383928Z,,,,,,,,,,
HE.VUOS.00.00 | 2025-02-06T23:34:40.982996Z - 2025-02-06T23:35:40.982996Z,,,,,,,,,,
UP.AAL.00.00 | 2025-01-15T01:47:28.193610Z - 2025-01-15T01:48:28.193610Z,,,,,,,,,,
HE.FIC4.00.00 | 2025-01-25T07:55:35.247528Z - 2025-01-25T07:56:35.247528Z,,,,,,,,,,
HE.HEL2.00.00 | 2025-02-14T00:59:46.652256Z - 2025-02-14T01:00:46.652256Z,,,,,,,,,,
HE.KORF.00.00 | 2025-02-19T12:43:09.616309Z - 2025-02-19T12:44:09.616309Z,,,,,,,,,,
HE.FIC4.00.00 | 2025-01-05T01:19:46.305489Z - 2025-01-05T01:20:46.305489Z,,,,,,,,,,
HE.VAF.00.00 | 2025-01-03T07:26:33.700375Z - 2025-01-03T07:27:33.700375Z,,,,,,,,,,
HE.TOF.00.00 | 2025-01-05T17:15:11.773625Z - 2025-01-05T17:16:11.773625Z,,,,,,,,,,
HE.TOF.00.00 | 2025-01-21T12:07:01.217335Z - 2025-01-21T12:08:01.217335Z,,,,,,,,,,
HE.LAUT.00.00 | 2025-01-14T02:26:29.429929Z - 2025-01-14T02:27:29.429929Z,,,,,,,,,,
HE.FIC5.00.00 | 2025-01-31T07:33:54.752667Z - 2025-01-31T07:34:54.752667Z,,,,,,,,,,
FN.KLF.00.00 | 2025-02-03T13:25:41.613815Z - 2025-02-03T13:26:41.613815Z,,,,,,,,,,
HE.HEL2.00.00 | 2025-01-04T16:55:27.097717Z - 2025-01-04T16:56:27.097717Z,,,,,,,,,,
HE.NUR.00.00 | 2025-01-06T06:41:43.564221Z - 2025-01-06T06:42:43.564221Z,,,,,,,,,,
HE.FIA3.00.00 | 2025-01-04T21:43:16.637056Z - 2025-01-04T21:44:16.637056Z,,,,,,,,,,
FN.KLF.00.00 | 2025-02-14T07:45:31.616829Z - 2025-02-14T07:46:31.616829Z,,,,,,,,,,
HE.KPF.00.00 | 2025-02-05T05:15:53.573583Z - 2025-02-05T05:16:53.573583Z,,,,,,,,,,
HE.RAF.00.00 | 2025-01-04T12:35:23.275284Z - 2025-01-04T12:36:23.275284Z,,,,,,,,,,
HE.OUF.00.00 | 2025-02-23T02:08:57.677500Z - 2025-02-23T02:09:57.677500Z,,,,,,,,,,
HE.NIF.00.00 | 2025-01-31T12:11:36.994877Z - 2025-01-31T12:12:36.994877Z,,,,,,,,,,
HE.FIA2.00.00 | 2025-01-16T02:43:36.909749Z - 2025-01-16T02:44:36.909749Z,,,,,,,,,,
HE.FIC4.00.00 | 2025-01-14T11:37:51.325838Z - 2025-01-14T11:38:51.325838Z,,,,,,,,,,
HE.ECKF.00.00 | 2025-01-22T16:45:04.545945Z - 2025-01-22T16:46:04.545945Z,,,,,,,,,,
HE.KIF.00.00 | 2025-02-23T17:18:22.159929Z - 2025-02-23T17:19:22.159929Z,,,,,,,,,,
FN.OUL.00.00 | 2025-01-15T02:03:29.288675Z - 2025-01-15T02:04:29.288675Z,,,,,,,,,,
HE.ECKF.00.00 | 2025-02-28T15:44:48.896845Z - 2025-02-28T15:45:48.896845Z,,,,,,,,,,
HE.HEL5.00.00 | 2025-02-09T10:05:49.677018Z - 2025-02-09T10:06:49.677018Z,,,,,,,,,,
HE.KORF.00.00 | 2025-01-12T03:00:37.012553Z - 2025-01-12T03:01:37.012553Z,,,,,,,,,,
HE.NIF.00.00 | 2025-02-01T23:09:34.161189Z - 2025-02-01T23:10:34.161189Z,,,,,,,,,,
HE.ALAJF.00.00 | 2025-01-16T10:45:54.559040Z - 2025-01-16T10:46:54.559040Z,,,,,,,,,,
HE.VUOS.00.00 | 2025-01-14T01:16:23.323830Z - 2025-01-14T01:17:23.323830Z,,,,,,,,,,
FN.RANF.00.00 | 2025-02-24T18:13:32.212415Z - 2025-02-24T18:14:32.212415Z,,,,,,,,,,
HE.KY02.00.00 | 2025-02-24T14:31:08.193459Z - 2025-02-24T14:32:08.193459Z,,,,,,,,,,
HE.LOVF.00.00 | 2025-02-06T04:51:41.058578Z - 2025-02-06T04:52:41.058578Z,,,,,,,,,,
HE.FIB5.00.00 | 2025-01-22T18:35:26.501263Z - 2025-01-22T18:36:26.501263Z,,,,,,,,,,
HE.MEF.00.00 | 2025-01-25T08:28:55.962443Z - 2025-01-25T08:29:55.962443Z,,,,,,,,,,
FN.OUL.00.00 | 2025-01-06T02:11:18.308352Z - 2025-01-06T02:12:18.308352Z,,,,,,,,,,
HE.FIC5.00.00 | 2025-02-28T04:51:59.098366Z - 2025-02-28T04:52:59.098366Z,,,,,,,,,,
HE.RSUO.00.00 | 2025-02-03T11:15:04.594453Z - 2025-02-03T11:16:04.594453Z,,,,,,,,,,
HE.KU6.00.00 | 2025-02-21T22:53:25.088175Z - 2025-02-21T22:54:25.088175Z,,,,,,,,,,
HE.FIA0.00.00 | 2025-01-13T00:57:30.820032Z - 2025-01-13T00:58:30.820032Z,,,,,,,,,,
HE.FIA1.00.00 | 2025-02-06T03:10:51.760698Z - 2025-02-06T03:11:51.760698Z,,,,,,,,,,
HE.KPF.00.00 | 2025-02-28T09:47:55.695208Z - 2025-02-28T09:48:55.695208Z,,,,,,,,,,
HE.LOVF.00.00 | 2025-01-07T23:11:57.785959Z - 2025-01-07T23:12:57.785959Z,,,,,,,,,,
HE.RMF.00.00 | 2025-02-17T09:10:25.194588Z - 2025-02-17T09:11:25.194588Z,,,,,,,,,,
HE.FIB1.00.00 | 2025-02-12T04:08:46.722028Z - 2025-02-12T04:09:46.722028Z,,,,,,,,,,
HE.TRE03.00.00 | 2025-02-18T08:09:14.334735Z - 2025-02-18T08:10:14.334735Z,,,,,,,,,,
HE.HEL2.00.00 | 2025-01-19T00:48:09.619449Z - 2025-01-19T00:49:09.619449Z,,,,,,,,,,
FN.MSF.00.00 | 2025-01-24T16:37:21.741865Z - 2025-01-24T16:38:21.741865Z,,,,,,,,,,
HE.KUNI.00.00 | 2025-01-02T18:35:30.356257Z - 2025-01-02T18:36:30.356257Z,,,,,,,,,,
HE.KORF.00.00 | 2025-02-13T07:46:45.885667Z - 2025-02-13T07:47:45.885667Z,,,,,,,,,,
FN.RAJF.00.00 | 2025-01-25T10:50:49.789148Z - 2025-01-25T10:51:49.789148Z,,,,,,,,,,
HE.TVF.00.00 | 2025-01-10T14:33:16.770568Z - 2025-01-10T14:34:16.770568Z,,,,,,,,,,
HE.KU1.00.00 | 2025-01-10T07:12:19.881234Z - 2025-01-10T07:13:19.881234Z,,,,,,,,,,
HE.SUF.00.00 | 2025-02-24T11:06:29.946756Z - 2025-02-24T11:07:29.946756Z,,,,,,,,,,
HE.KU1.00.00 | 2025-01-02T19:34:04.653915Z - 2025-01-02T19:35:04.653915Z,,,,,,,,,,
HE.RAF.00.00 | 2025-01-20T14:51:24.455820Z - 2025-01-20T14:52:24.455820Z,,,,,,,,,,
HE.TOF.00.00 | 2025-02-02T08:39:25.302385Z - 2025-02-02T08:40:25.302385Z,,,,,,,,,,
HE.NIF.00.00 | 2025-01-10T21:37:02.518571Z - 2025-01-10T21:38:02.518571Z,,,,,,,,,,
HE.FIC4.00.00 | 2025-02-18T08:04:17.064354Z - 2025-02-18T08:05:17.064354Z,,,,,,,,,,
UP.AAL.00.00 | 2025-01-29T11:37:00.693200Z - 2025-01-29T11:38:00.693200Z,,,,,,,,,,
HE.FIC3.00.00 | 2025-02-10T07:54:20.204520Z - 2025-02-10T07:55:20.204520Z,,,,,,,,,,
FN.SGF.00.00 | 2025-01-02T10:12:10.346837Z - 2025-01-02T10:13:10.346837Z,,,,,,,,,,
HE.OUF.00.00 | 2025-02-07T08:38:02.906078Z - 2025-02-07T08:39:02.906078Z,,,,,,,,,,
